Database,Term,Adjusted_p_value,Gene_Count,Associated_Genes,Gene_Ratio,minus_log10_adjusted_p
GO:BP,positive regulation of mast cell proliferation,0.0160293026416103,1,KIT,0.05,1.7950853713132535
GO:BP,intracellular nitric oxide homeostasis,0.0160293026416103,1,CAV1,0.05,1.7950853713132535
GO:BP,spindle assembly involved in female meiosis I,0.0160293026416103,1,CCNB2,0.05,1.7950853713132535
GO:BP,cellular response to luteinizing hormone stimulus,0.0160293026416103,1,CCNA2,0.05,1.7950853713132535
GO:BP,response to metal ion,0.0160293026416103,3,CDK1;CAV1;KIT,0.15,1.7950853713132535
GO:BP,negative regulation of kidney development,0.0160293026416103,1,STAT1,0.05,1.7950853713132535
GO:BP,cellular response to alcohol,0.0160293026416103,2,GNAI1;PPARG,0.1,1.7950853713132535
GO:BP,metanephric mesenchymal cell differentiation,0.0160293026416103,1,STAT1,0.05,1.7950853713132535
GO:BP,regulation of protein kinase C signaling,0.0160293026416103,1,EGFR,0.05,1.7950853713132535
GO:BP,"substrate-dependent cell migration, cell attachment to substrate",0.0160293026416103,1,FN1,0.05,1.7950853713132535
GO:BP,mesenchyme development,0.0160756856660918,3,FN1;EZH2;STAT1,0.15,1.7938304943197916
GO:BP,regulation of MAP kinase activity,0.0161936703597518,2,EZH2;FGF2,0.1,1.7906547055191369
GO:BP,regulation of blood vessel endothelial cell migration,0.0164431480829698,2,PPARG;FGF2,0.1,1.7840150320406445
GO:BP,regulation of gliogenesis,0.0164431480829698,2,EZH2;PPARG,0.1,1.7840150320406445
GO:BP,positive regulation of lipid localization,0.0164431480829698,2,CAV1;PPARG,0.1,1.7840150320406445
GO:BP,interferon-mediated signaling pathway,0.0164431480829698,2,STAT1;PPARG,0.1,1.7840150320406445
GO:BP,RNA biosynthetic process,0.0165780458306097,10,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;PPARG;CCNA2;FGF2;FOXO1,0.5,1.7804666640753175
GO:BP,developmental growth,0.0167496616915577,4,CDK1;FN1;EZH2;FGF2,0.2,1.7759939603867432
GO:BP,biosynthetic process,0.0168472666631347,14,CDK1;EGFR;FN1;EZH2;STAT1;TOP2A;CAV1;RRM2;GNAI1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.7,1.7734705499504575
GO:BP,smooth muscle contraction,0.0169975167779928,2,CAV1;KIT,0.1,1.7696145214680967
GO:BP,cellular response to type II interferon,0.0169975167779928,2,STAT1;PPARG,0.1,1.7696145214680967
GO:BP,cell surface receptor signaling pathway,0.0169975167779928,8,EGFR;FN1;STAT1;CAV1;KIT;PPARG;FGF2;FOXO1,0.4,1.7696145214680967
GO:BP,chordate embryonic development,0.0171969662248639,4,EGFR;CCNB1;RRM2;CCNB2,0.2,1.76454816169774
GO:BP,kidney morphogenesis,0.0172211028488514,2,STAT1;FGF2,0.1,1.7639390395354555
GO:BP,negative regulation of gene expression,0.0172211028488514,5,CDK1;FN1;EZH2;PPARG;FGF2,0.25,1.7639390395354555
GO:BP,response to ethanol,0.0172211028488514,2,CDK1;FGF2,0.1,1.7639390395354555
GO:BP,muscle structure development,0.0172211028488514,4,CDK1;EZH2;CAV1;KIT,0.2,1.7639390395354555
GO:BP,insulin-like growth factor receptor signaling pathway,0.0175275925177896,2,EGFR;KIT,0.1,1.75627773182643
GO:BP,nephron tubule development,0.0175275925177896,2,STAT1;FGF2,0.1,1.75627773182643
GO:BP,phosphate-containing compound metabolic process,0.017843573094299,7,CDK1;EGFR;FN1;EZH2;RRM2;KIT;FGF2,0.35,1.7485181757581545
GO:BP,cell development,0.0178609657490246,8,CDK1;FN1;EZH2;STAT1;TOP2A;KIT;PPARG;FGF2,0.4,1.7480950623493197
GO:BP,phosphorus metabolic process,0.0178872464178023,7,CDK1;EGFR;FN1;EZH2;RRM2;KIT;FGF2,0.35,1.7474565100528388
GO:BP,biological process involved in interspecies interaction between organisms,0.0182465795229371,6,CDK1;EGFR;FN1;STAT1;CAV1;PPARG,0.3,1.7388185357850108
GO:BP,cellular response to ketone,0.0184273626332422,2,GNAI1;PPARG,0.1,1.734536817563967
GO:BP,response to estradiol,0.0184273626332422,2,EGFR;CCNA2,0.1,1.734536817563967
GO:BP,respiratory electron transport chain,0.0184273626332422,2,CDK1;CCNB1,0.1,1.734536817563967
GO:BP,vascular endothelial growth factor receptor signaling pathway,0.0186811551025662,2,EGFR;KIT,0.1,1.728596273761121
GO:BP,metaphase chromosome alignment,0.0186811551025662,2,CDK1;CCNB1,0.1,1.728596273761121
GO:BP,peptidyl-serine phosphorylation,0.0186811551025662,2,CDK1;EGFR,0.1,1.728596273761121
GO:BP,regulation of BMP signaling pathway,0.0186811551025662,2,CAV1;PPARG,0.1,1.728596273761121
GO:BP,negative regulation of vascular endothelial cell proliferation,0.0187395854064597,1,PPARG,0.05,1.7272400216488022
GO:BP,peptidyl-serine modification,0.0187395854064597,2,CDK1;EGFR,0.1,1.7272400216488022
GO:BP,apoptotic chromosome condensation,0.0187395854064597,1,TOP2A,0.05,1.7272400216488022
GO:BP,skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration,0.0187395854064597,1,EZH2,0.05,1.7272400216488022
GO:BP,regulation of anaphase-promoting complex-dependent catabolic process,0.0187395854064597,1,CDC20,0.05,1.7272400216488022
GO:BP,negative regulation of pinocytosis,0.0187395854064597,1,CAV1,0.05,1.7272400216488022
GO:BP,chondroblast differentiation,0.0187395854064597,1,FGF2,0.05,1.7272400216488022
GO:BP,positive regulation of vascular associated smooth muscle cell differentiation,0.0187395854064597,1,KIT,0.05,1.7272400216488022
GO:BP,positive regulation of exit from mitosis,0.0187395854064597,1,UBE2C,0.05,1.7272400216488022
GO:BP,renal tubule development,0.0187395854064597,2,STAT1;FGF2,0.1,1.7272400216488022
GO:BP,thyroid-stimulating hormone-secreting cell differentiation,0.0187395854064597,1,FGF2,0.05,1.7272400216488022
GO:BP,protein localization to plasma membrane raft,0.0187395854064597,1,CAV1,0.05,1.7272400216488022
GO:BP,cholesterol transport,0.0189850135692988,2,CAV1;PPARG,0.1,1.7215890881175735
GO:BP,regulation of G2/M transition of mitotic cell cycle,0.0189850135692988,2,CDK1;CCNB1,0.1,1.7215890881175735
GO:BP,columnar/cuboidal epithelial cell differentiation,0.0189850135692988,2,CAV1;FGF2,0.1,1.7215890881175735
GO:BP,nucleic acid biosynthetic process,0.018997747666149,10,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;PPARG;CCNA2;FGF2;FOXO1,0.5,1.7212978850548477
GO:BP,negative regulation of cell population proliferation,0.0191597967089114,4,STAT1;CAV1;PPARG;FGF2,0.2,1.7176091032254466
GO:BP,platelet-derived growth factor receptor signaling pathway,0.019267200513399,2,EGFR;KIT,0.1,1.715181382900617
GO:BP,gland morphogenesis,0.0196092674906539,2,EGFR;CAV1,0.1,1.7075386292138404
GO:BP,epidermis development,0.0200966190541357,3,EGFR;EZH2;FGF2,0.15,1.6968769997753883
GO:BP,negative regulation of angiogenesis,0.0202695460597487,2,STAT1;PPARG,0.1,1.693155977303723
GO:BP,positive regulation of canonical Wnt signaling pathway,0.0202695460597487,2,EGFR;FGF2,0.1,1.693155977303723
GO:BP,negative regulation of blood vessel morphogenesis,0.0206178169059899,2,STAT1;PPARG,0.1,1.685757321393667
GO:BP,meiosis I,0.020851001492956,2,TOP2A;CCNB2,0.1,1.6808730806221677
GO:BP,negative regulation of vasculature development,0.020851001492956,2,STAT1;PPARG,0.1,1.6808730806221677
GO:BP,positive regulation of proteasomal protein catabolic process,0.020851001492956,2,CDC20;CAV1,0.1,1.6808730806221677
GO:BP,electron transport chain,0.020851001492956,2,CDK1;CCNB1,0.1,1.6808730806221677
GO:BP,protein ubiquitination,0.020851001492956,4,CDC20;CAV1;UBE2C;MAD2L1,0.2,1.6808730806221677
GO:BP,mast cell proliferation,0.0209384031707888,1,KIT,0.05,1.6790564420725689
GO:BP,regulation of mast cell proliferation,0.0209384031707888,1,KIT,0.05,1.6790564420725689
GO:BP,response to luteinizing hormone,0.0209384031707888,1,CCNA2,0.05,1.6790564420725689
GO:BP,cell chemotaxis to fibroblast growth factor,0.0209384031707888,1,FGF2,0.05,1.6790564420725689
GO:BP,regulation of cerebellar granule cell precursor proliferation,0.0209384031707888,1,FGF2,0.05,1.6790564420725689
GO:BP,RNA metabolic process,0.0209384031707888,10,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;PPARG;CCNA2;FGF2;FOXO1,0.5,1.6790564420725689
GO:BP,protein kinase C signaling,0.0209384031707888,1,EGFR,0.05,1.6790564420725689
GO:BP,sterol transport,0.0209384031707888,2,CAV1;PPARG,0.1,1.6790564420725689
GO:BP,cellular response to vascular endothelial growth factor stimulus,0.0209384031707888,2,EGFR;KIT,0.1,1.6790564420725689
GO:BP,macromolecule localization,0.0209384031707888,8,CDK1;EGFR;BUB1B;EZH2;CAV1;GNAI1;PPARG;FOXO1,0.4,1.6790564420725689
GO:BP,macromolecule metabolic process,0.0209384031707888,15,CDK1;EGFR;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;KIT;PPARG;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.75,1.6790564420725689
GO:BP,regulation of endothelial cell chemotaxis to fibroblast growth factor,0.0209384031707888,1,FGF2,0.05,1.6790564420725689
GO:BP,protein localization to cell periphery,0.0209384031707888,3,EGFR;CAV1;GNAI1,0.15,1.6790564420725689
GO:BP,metaphase/anaphase transition of meiotic cell cycle,0.0209384031707888,1,CDC20,0.05,1.6790564420725689
GO:BP,positive regulation of blood vessel branching,0.0209384031707888,1,FGF2,0.05,1.6790564420725689
GO:BP,regulation of cell chemotaxis to fibroblast growth factor,0.0209384031707888,1,FGF2,0.05,1.6790564420725689
GO:BP,biological process involved in interaction with symbiont,0.0209384031707888,1,FN1,0.05,1.6790564420725689
GO:BP,neural crest cell migration involved in autonomic nervous system development,0.0209384031707888,1,FN1,0.05,1.6790564420725689
GO:BP,adiponectin secretion,0.0209384031707888,1,PPARG,0.05,1.6790564420725689
GO:BP,regulation of adiponectin secretion,0.0209384031707888,1,PPARG,0.05,1.6790564420725689
GO:BP,mast cell cytokine production,0.0209384031707888,1,KIT,0.05,1.6790564420725689
GO:BP,regulation of mast cell cytokine production,0.0209384031707888,1,KIT,0.05,1.6790564420725689
GO:BP,erythropoietin-mediated signaling pathway,0.0209384031707888,1,KIT,0.05,1.6790564420725689
GO:BP,mast cell differentiation,0.0209384031707888,1,KIT,0.05,1.6790564420725689
GO:BP,endothelial cell chemotaxis to fibroblast growth factor,0.0209384031707888,1,FGF2,0.05,1.6790564420725689
GO:BP,positive regulation of protein localization to cell cortex,0.0209384031707888,1,GNAI1,0.05,1.6790564420725689
GO:BP,Ras protein signal transduction,0.0209384031707888,2,CCNA2;FGF2,0.1,1.6790564420725689
GO:BP,regulation of the force of heart contraction by chemical signal,0.0209384031707888,1,CAV1,0.05,1.6790564420725689
GO:BP,response to xenobiotic stimulus,0.0209384031707888,3,CDK1;STAT1;PPARG,0.15,1.6790564420725689
GO:BP,mesenchymal cell differentiation involved in kidney development,0.0209384031707888,1,STAT1,0.05,1.6790564420725689
GO:BP,Golgi disassembly,0.0209384031707888,1,CDK1,0.05,1.6790564420725689
GO:BP,regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,0.0209384031707888,1,STAT1,0.05,1.6790564420725689
GO:BP,regulation of apoptotic signaling pathway,0.0213785408769949,3,CAV1;PPARG;FGF2,0.15,1.6700219394777644
GO:BP,regulation of cell cycle G2/M phase transition,0.0216863202623161,2,CDK1;CCNB1,0.1,1.6638141328795522
GO:BP,anatomical structure formation involved in morphogenesis,0.0217706238275124,5,FN1;STAT1;CAV1;PPARG;FGF2,0.25,1.6621291262659958
GO:BP,chromosome localization,0.0219717523253506,2,CDK1;CCNB1,0.1,1.6581353051695098
GO:BP,regulation of ketone metabolic process,0.0219717523253506,2,CAV1;PPARG,0.1,1.6581353051695098
GO:BP,response to type II interferon,0.0222891546202618,2,STAT1;PPARG,0.1,1.6519064030638526
GO:BP,negative regulation of protein catabolic process,0.0222891546202618,2,EGFR;MAD2L1,0.1,1.6519064030638526
GO:BP,negative regulation of ubiquitin protein ligase activity,0.0234785862839216,1,MAD2L1,0.05,1.629328056810108
GO:BP,regulation of connective tissue replacement,0.0234785862839216,1,PPARG,0.05,1.629328056810108
GO:BP,regulation of blood vessel branching,0.0234785862839216,1,FGF2,0.05,1.629328056810108
GO:BP,paracrine signaling,0.0234785862839216,1,FGF2,0.05,1.629328056810108
GO:BP,muscle cell differentiation,0.0234785862839216,3,CDK1;EZH2;KIT,0.15,1.629328056810108
GO:BP,negative regulation of response to type II interferon,0.0234785862839216,1,PPARG,0.05,1.629328056810108
GO:BP,entry of bacterium into host cell,0.0234785862839216,1,CAV1,0.05,1.629328056810108
GO:BP,intestine smooth muscle contraction,0.0234785862839216,1,KIT,0.05,1.629328056810108
GO:BP,caveola assembly,0.0234785862839216,1,CAV1,0.05,1.629328056810108
GO:BP,positive regulation of gap junction assembly,0.0234785862839216,1,CAV1,0.05,1.629328056810108
GO:BP,positive regulation of lipid metabolic process,0.0234785862839216,2,GNAI1;PPARG,0.1,1.629328056810108
GO:BP,negative regulation of type II interferon-mediated signaling pathway,0.0234785862839216,1,PPARG,0.05,1.629328056810108
GO:BP,regulation of entry of bacterium into host cell,0.0234785862839216,1,CAV1,0.05,1.629328056810108
GO:BP,blood vessel endothelial cell migration,0.0234785862839216,2,PPARG;FGF2,0.1,1.629328056810108
GO:BP,positive regulation of vascular associated smooth muscle cell apoptotic process,0.0234785862839216,1,PPARG,0.05,1.629328056810108
GO:BP,nephron epithelium development,0.0234785862839216,2,STAT1;FGF2,0.1,1.629328056810108
GO:BP,regulation of metanephric nephron tubule epithelial cell differentiation,0.0234785862839216,1,STAT1,0.05,1.629328056810108
GO:BP,metanephric nephron tubule epithelial cell differentiation,0.0234785862839216,1,STAT1,0.05,1.629328056810108
GO:BP,regulation of cell growth,0.0234785862839216,3,EGFR;FN1;PPARG,0.15,1.629328056810108
GO:BP,germ cell migration,0.0234785862839216,1,KIT,0.05,1.629328056810108
GO:BP,response to vitamin E,0.0234785862839216,1,PPARG,0.05,1.629328056810108
GO:BP,intracellular receptor signaling pathway,0.0236233945910132,3,EZH2;CAV1;PPARG,0.15,1.6266576957903225
GO:BP,gene expression,0.0242390054858221,12,CDK1;EGFR;FN1;EZH2;STAT1;TOP2A;CAV1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.6,1.6154852030239066
GO:BP,regulation of generation of precursor metabolites and energy,0.0245984975077333,2,CDK1;CCNB1,0.1,1.6090914190766377
GO:BP,striated muscle tissue development,0.0247825212516641,3,CDK1;CAV1;FGF2,0.15,1.6058545127305306
GO:BP,negative regulation of DNA-templated transcription,0.0249077651635674,5,EZH2;STAT1;CAV1;PPARG;FOXO1,0.25,1.603665237564721
GO:BP,regulation of wound healing,0.0249077651635674,2,CAV1;FGF2,0.1,1.603665237564721
GO:BP,cell-cell signaling,0.0250538750308253,5,CDC20;KIT;PPARG;FGF2;FOXO1,0.25,1.6011250931758862
GO:BP,membrane organization,0.0251646399763979,4,CDK1;EGFR;CAV1;PPARG,0.2,1.599209278554432
GO:BP,regulation of lipid transport,0.02518066679367,2,CAV1;PPARG,0.1,1.598932773792204
GO:BP,negative regulation of RNA biosynthetic process,0.0253134055336316,5,EZH2;STAT1;CAV1;PPARG;FOXO1,0.25,1.5966494231953243
GO:BP,positive regulation of synapse maturation,0.0253915098970135,1,CDC20,0.05,1.5953114731930689
GO:BP,regulation of membrane repolarization during action potential,0.0253915098970135,1,CAV1,0.05,1.5953114731930689
GO:BP,regulation of cardiac muscle cell action potential involved in regulation of contraction,0.0253915098970135,1,CAV1,0.05,1.5953114731930689
GO:BP,cellular response to interleukin-9,0.0253915098970135,1,STAT1,0.05,1.5953114731930689
GO:BP,mammary gland involution,0.0253915098970135,1,CAV1,0.05,1.5953114731930689
GO:BP,G2/MI transition of meiotic cell cycle,0.0253915098970135,1,CCNB2,0.05,1.5953114731930689
GO:BP,ventricular cardiac muscle cell development,0.0253915098970135,1,CDK1,0.05,1.5953114731930689
GO:BP,spindle assembly,0.0253915098970135,2,CDC20;CCNB2,0.1,1.5953114731930689
GO:BP,adenylate cyclase-inhibiting serotonin receptor signaling pathway,0.0253915098970135,1,GNAI1,0.05,1.5953114731930689
GO:BP,mitotic nuclear membrane disassembly,0.0253915098970135,1,CDK1,0.05,1.5953114731930689
GO:BP,regulation of cell adhesion molecule production,0.0253915098970135,1,CAV1,0.05,1.5953114731930689
GO:BP,regulation of lens fiber cell differentiation,0.0253915098970135,1,FGF2,0.05,1.5953114731930689
GO:BP,positive regulation of neuroepithelial cell differentiation,0.0253915098970135,1,FGF2,0.05,1.5953114731930689
GO:BP,positive regulation of mitotic sister chromatid segregation,0.0253915098970135,1,CDK1,0.05,1.5953114731930689
GO:BP,interleukin-27-mediated signaling pathway,0.0253915098970135,1,STAT1,0.05,1.5953114731930689
GO:BP,connective tissue replacement involved in inflammatory response wound healing,0.0253915098970135,1,PPARG,0.05,1.5953114731930689
GO:BP,mammary gland development,0.0253915098970135,2,CAV1;FGF2,0.1,1.5953114731930689
GO:BP,negative regulation of stress-activated MAPK cascade,0.0253915098970135,1,FOXO1,0.05,1.5953114731930689
GO:BP,interleukin-9-mediated signaling pathway,0.0253915098970135,1,STAT1,0.05,1.5953114731930689
GO:BP,interleukin-7-mediated signaling pathway,0.0253915098970135,1,STAT1,0.05,1.5953114731930689
GO:BP,positive regulation of toll-like receptor 3 signaling pathway,0.0253915098970135,1,CAV1,0.05,1.5953114731930689
GO:BP,regulation of fat cell differentiation,0.0253915098970135,2,PPARG;FOXO1,0.1,1.5953114731930689
GO:BP,ERBB2-EGFR signaling pathway,0.0253915098970135,1,EGFR,0.05,1.5953114731930689
GO:BP,embryonic cleavage,0.0253915098970135,1,TOP2A,0.05,1.5953114731930689
GO:BP,free ubiquitin chain polymerization,0.0253915098970135,1,UBE2C,0.05,1.5953114731930689
GO:BP,negative regulation of keratinocyte differentiation,0.0253915098970135,1,EZH2,0.05,1.5953114731930689
GO:BP,response to purine-containing compound,0.0253915098970135,2,STAT1;PPARG,0.1,1.5953114731930689
GO:BP,cellular response to insulin-like growth factor stimulus,0.0253915098970135,1,CCNA2,0.05,1.5953114731930689
GO:BP,digestive tract development,0.0253915098970135,2,EGFR;KIT,0.1,1.5953114731930689
GO:BP,regulation by virus of viral protein levels in host cell,0.0253915098970135,1,STAT1,0.05,1.5953114731930689
GO:BP,negative regulation of retinoic acid receptor signaling pathway,0.0253915098970135,1,EZH2,0.05,1.5953114731930689
GO:BP,peptidyl-tyrosine phosphorylation,0.0256001924204663,2,EGFR;KIT,0.1,1.5917567703587496
GO:BP,positive regulation of apoptotic signaling pathway,0.0256001924204663,2,CAV1;PPARG,0.1,1.5917567703587496
GO:BP,oxidative phosphorylation,0.0259215468666496,2,CDK1;CCNB1,0.1,1.5863390855327286
GO:BP,cellular response to reactive oxygen species,0.0259215468666496,2,CDK1;EZH2,0.1,1.5863390855327286
GO:BP,regulation of cell shape,0.0261765032562202,2,FN1;KIT,0.1,1.5820883684023208
GO:BP,peptidyl-tyrosine modification,0.0261765032562202,2,EGFR;KIT,0.1,1.5820883684023208
GO:BP,B cell differentiation,0.0261765032562202,2,EZH2;KIT,0.1,1.5820883684023208
GO:BP,regulation of osteoblast differentiation,0.0261765032562202,2,PPARG;FGF2,0.1,1.5820883684023208
GO:BP,protein modification by small protein conjugation,0.026499149485624,4,CDC20;CAV1;UBE2C;MAD2L1,0.2,1.5767680649170748
GO:BP,regulation of muscle cell differentiation,0.026499149485624,2,EZH2;KIT,0.1,1.5767680649170748
GO:BP,hematopoietic progenitor cell differentiation,0.0267885374058235,2,TOP2A;KIT,0.1,1.572050997251064
GO:BP,cellular response to hypoxia,0.0267885374058235,2,PPARG;CCNA2,0.1,1.572050997251064
GO:BP,negative regulation of canonical Wnt signaling pathway,0.0267885374058235,2,CAV1;FOXO1,0.1,1.572050997251064
GO:BP,muscle tissue development,0.0269154734411492,3,CDK1;CAV1;FGF2,0.15,1.5699979765739014
GO:BP,ossification,0.0270675697901495,3,EGFR;PPARG;FGF2,0.15,1.5675507347764537
GO:BP,regulation of attachment of mitotic spindle microtubules to kinetochore,0.0271416580077549,1,CDK1,0.05,1.5663636260342353
GO:BP,cellular response to antibiotic,0.0271416580077549,1,EZH2,0.05,1.5663636260342353
GO:BP,plasma membrane raft assembly,0.0271416580077549,1,CAV1,0.05,1.5663636260342353
GO:BP,subtelomeric heterochromatin formation,0.0271416580077549,1,EZH2,0.05,1.5663636260342353
GO:BP,positive regulation of synaptic plasticity,0.0271416580077549,1,CDC20,0.05,1.5663636260342353
GO:BP,erythrocyte differentiation,0.0271416580077549,2,STAT1;KIT,0.1,1.5663636260342353
GO:BP,positive regulation of epithelial tube formation,0.0271416580077549,1,FGF2,0.05,1.5663636260342353
GO:BP,positive regulation of adipose tissue development,0.0271416580077549,1,PPARG,0.05,1.5663636260342353
GO:BP,female gamete generation,0.0271416580077549,2,TOP2A;CCNB2,0.1,1.5663636260342353
GO:BP,positive regulation of dendritic cell cytokine production,0.0271416580077549,1,KIT,0.05,1.5663636260342353
GO:BP,establishment of centrosome localization,0.0271416580077549,1,MAD2L1,0.05,1.5663636260342353
GO:BP,negative regulation of voltage-gated potassium channel activity,0.0271416580077549,1,CAV1,0.05,1.5663636260342353
GO:BP,response to interleukin-9,0.0271416580077549,1,STAT1,0.05,1.5663636260342353
GO:BP,myeloid progenitor cell differentiation,0.0271416580077549,1,KIT,0.05,1.5663636260342353
GO:BP,negative regulation of acute inflammatory response,0.0271416580077549,1,PPARG,0.05,1.5663636260342353
GO:BP,negative regulation of stress-activated protein kinase signaling cascade,0.0271416580077549,1,FOXO1,0.05,1.5663636260342353
GO:BP,positive regulation of long-term neuronal synaptic plasticity,0.0271416580077549,1,KIT,0.05,1.5663636260342353
GO:BP,response to erythropoietin,0.0271416580077549,1,KIT,0.05,1.5663636260342353
GO:BP,hematopoietic stem cell migration,0.0271416580077549,1,KIT,0.05,1.5663636260342353
GO:BP,negative regulation of collagen biosynthetic process,0.0271416580077549,1,PPARG,0.05,1.5663636260342353
GO:BP,cellular response to erythropoietin,0.0271416580077549,1,KIT,0.05,1.5663636260342353
GO:BP,behavioral response to ethanol,0.0271416580077549,1,FGF2,0.05,1.5663636260342353
GO:BP,regulation of epithelial tube formation,0.0271416580077549,1,FGF2,0.05,1.5663636260342353
GO:BP,regulation of protein localization to cell cortex,0.0271416580077549,1,GNAI1,0.05,1.5663636260342353
GO:BP,regulation of viral process,0.0271416580077549,2,STAT1;TOP2A,0.1,1.5663636260342353
GO:BP,regulation of protein transport,0.0272981717006164,3,CDK1;PPARG;FOXO1,0.15,1.563866438927111
GO:BP,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.0272981717006164,2,CAV1;PPARG,0.1,1.563866438927111
GO:BP,digestive system development,0.0272981717006164,2,EGFR;KIT,0.1,1.563866438927111
GO:BP,response to nutrient,0.0272981717006164,2,STAT1;PPARG,0.1,1.563866438927111
GO:BP,cardiocyte differentiation,0.028435697475018,2,CDK1;EGFR,0.1,1.5461361148415076
GO:BP,myeloid cell differentiation,0.0286276148197897,3,STAT1;KIT;PPARG,0.15,1.5432148347850911
GO:BP,cellular response to decreased oxygen levels,0.0287253281958252,2,PPARG;CCNA2,0.1,1.541735000661553
GO:BP,placenta development,0.0287253281958252,2,EGFR;PPARG,0.1,1.541735000661553
GO:BP,positive regulation of cell growth,0.0290506150459916,2,EGFR;FN1,0.1,1.5368446684973092
GO:BP,positive regulation of Wnt signaling pathway,0.0290506150459916,2,EGFR;FGF2,0.1,1.5368446684973092
GO:BP,vascular associated smooth muscle cell apoptotic process,0.0290656847170197,1,PPARG,0.05,1.5366194416626713
GO:BP,negative regulation of collagen metabolic process,0.0290656847170197,1,PPARG,0.05,1.5366194416626713
GO:BP,regulation of vascular associated smooth muscle cell apoptotic process,0.0290656847170197,1,PPARG,0.05,1.5366194416626713
GO:BP,receptor-mediated endocytosis of virus by host cell,0.0290656847170197,1,CAV1,0.05,1.5366194416626713
GO:BP,wound healing involved in inflammatory response,0.0290656847170197,1,PPARG,0.05,1.5366194416626713
GO:BP,mesenchymal to epithelial transition involved in metanephros morphogenesis,0.0290656847170197,1,STAT1,0.05,1.5366194416626713
GO:BP,protein localization to membrane raft,0.0290656847170197,1,CAV1,0.05,1.5366194416626713
GO:BP,DNA topological change,0.0290656847170197,1,TOP2A,0.05,1.5366194416626713
GO:BP,negative regulation of fibroblast migration,0.0290656847170197,1,FGF2,0.05,1.5366194416626713
GO:BP,negative regulation of cholesterol storage,0.0290656847170197,1,PPARG,0.05,1.5366194416626713
GO:BP,regulation of mechanoreceptor differentiation,0.0290656847170197,1,FGF2,0.05,1.5366194416626713
GO:BP,gastro-intestinal system smooth muscle contraction,0.0290656847170197,1,KIT,0.05,1.5366194416626713
GO:BP,regulation of inner ear receptor cell differentiation,0.0290656847170197,1,FGF2,0.05,1.5366194416626713
GO:BP,regulation of inner ear auditory receptor cell differentiation,0.0290656847170197,1,FGF2,0.05,1.5366194416626713
GO:BP,cellular response to cocaine,0.0290656847170197,1,CCNA2,0.05,1.5366194416626713
GO:BP,negative regulation of ubiquitin-protein transferase activity,0.0290656847170197,1,MAD2L1,0.05,1.5366194416626713
GO:BP,regulation of gap junction assembly,0.0290656847170197,1,CAV1,0.05,1.5366194416626713
GO:BP,cell proliferation involved in metanephros development,0.0290656847170197,1,STAT1,0.05,1.5366194416626713
GO:BP,positive regulation of cell fate commitment,0.0290656847170197,1,FGF2,0.05,1.5366194416626713
GO:BP,negative regulation of transforming growth factor beta production,0.0290656847170197,1,FN1,0.05,1.5366194416626713
GO:BP,BMP signaling pathway,0.0291039769139356,2,CAV1;PPARG,0.1,1.5360476627746251
GO:BP,nucleobase-containing compound metabolic process,0.0294625846933394,11,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;RRM2;PPARG;CCNA2;FGF2;FOXO1,0.55,1.530729156040055
GO:BP,hindbrain development,0.0297851758175602,2,EZH2;FGF2,0.1,1.525999831980417
GO:BP,erythrocyte homeostasis,0.0297851758175602,2,STAT1;KIT,0.1,1.525999831980417
GO:BP,negative regulation of RNA metabolic process,0.0303287247859802,5,EZH2;STAT1;CAV1;PPARG;FOXO1,0.25,1.5181458498296236
GO:BP,regulation of protein localization to cell periphery,0.0304349748841416,2,EGFR;GNAI1,0.1,1.5166270523037175
GO:BP,regulation of lipid localization,0.0304349748841416,2,CAV1;PPARG,0.1,1.5166270523037175
GO:BP,kidney epithelium development,0.0304349748841416,2,STAT1;FGF2,0.1,1.5166270523037175
GO:BP,regulation of localization,0.0307318811240884,6,CDK1;EGFR;CAV1;GNAI1;PPARG;FOXO1,0.3,1.5124108554023454
GO:BP,cerebellar granule cell precursor proliferation,0.0308895695648834,1,FGF2,0.05,1.510188143394838
GO:BP,regulation of vascular associated smooth muscle cell differentiation,0.0308895695648834,1,KIT,0.05,1.510188143394838
GO:BP,regulation of single stranded viral RNA replication via double stranded DNA intermediate,0.0308895695648834,1,TOP2A,0.05,1.510188143394838
GO:BP,negative regulation of cardiocyte differentiation,0.0308895695648834,1,EGFR,0.05,1.510188143394838
GO:BP,organ growth,0.0308895695648834,2,CDK1;FGF2,0.1,1.510188143394838
GO:BP,negative regulation of potassium ion transmembrane transporter activity,0.0308895695648834,1,CAV1,0.05,1.510188143394838
GO:BP,cell adhesion molecule production,0.0308895695648834,1,CAV1,0.05,1.510188143394838
GO:BP,positive regulation of calcium ion transport into cytosol,0.0308895695648834,1,CAV1,0.05,1.510188143394838
